meshblock_id,census_id,full_time,not_in_the_labour_force,part_time,status_unidentifiable,total,total_stated,unemployed
1195100,1,12,6,0,0,21,21,0
1195200,1,33,15,6,0,54,54,3
1195300,1,51,33,12,6,105,102,9
1195400,1,78,39,9,3,132,132,3
1195500,1,15,15,3,0,33,33,0
1195600,1,15,12,3,0,36,36,6
1195700,1,0,0,0,0,0,0,0
1195800,1,45,24,21,3,99,96,6
1195900,1,63,51,12,6,141,135,9
1196000,1,42,21,9,3,78,75,3
1196100,1,33,9,6,3,51,48,0
1196200,1,66,81,24,0,174,174,6
1196300,1,81,45,33,0,168,168,6
1196400,1,63,45,30,3,144,141,0
1196500,1,96,57,30,3,189,186,3
1196600,1,60,78,18,0,162,159,3
1196700,1,96,69,39,9,225,216,12
1196800,1,51,27,9,6,96,90,3
1196900,1,63,21,9,3,105,102,6
1197000,1,72,33,24,0,141,141,9
1197100,1,66,21,18,3,117,114,6
1197200,1,63,60,33,6,171,162,9
1197300,1,81,54,24,6,174,168,9
1197400,1,45,33,15,3,105,102,9
1197500,1,60,27,12,0,105,105,6
1197600,1,60,24,18,6,111,105,9
1197700,1,69,51,24,3,150,147,9
1197800,1,21,51,9,0,87,84,3
1197900,1,18,21,9,3,57,54,6
1198000,1,30,27,3,3,66,60,3
1198100,1,63,30,27,0,132,132,12
1198200,1,72,51,30,6,171,168,12
1198300,1,42,27,15,3,90,87,3
1198400,1,21,96,12,0,129,129,0
1198500,1,63,75,18,3,159,156,6
1198601,1,36,51,15,3,108,108,6
1198603,1,27,24,9,0,63,60,3
1198604,1,21,21,6,0,51,54,3
1198605,1,15,15,0,0,33,33,3
1198700,1,60,30,18,0,111,111,6
1198800,1,75,36,30,0,150,147,6
1198900,1,72,57,18,6,159,153,6
1199000,1,60,60,18,6,153,147,6
1199100,1,30,39,12,0,90,90,6
1199201,1,51,69,15,12,153,141,6
1199202,1,12,3,6,0,21,18,0
1199301,1,48,36,9,6,102,99,6
1199302,1,15,15,3,0,36,36,0
1199400,1,33,27,9,0,72,72,3
1199500,1,63,27,21,3,117,114,6
1199601,1,18,9,6,0,33,33,0
1199602,1,30,42,12,0,90,93,9
1199700,1,54,42,15,6,123,117,6
1199800,1,51,42,12,3,114,108,6
1199900,1,78,48,24,6,165,159,9
1200000,1,57,30,6,0,99,96,3
1200100,1,51,63,21,0,141,141,9
1200200,1,45,45,15,0,117,117,12
1200300,1,42,63,18,6,135,129,3
1200401,1,57,96,12,3,174,168,6
