meshblock_id,census_year_id,not_further_defined,other_types,separate_houses,total,two_or_more_flats
0032200,1,0,0,0,6,0
0032300,1,3,0,39,45,0
0032400,1,0,0,9,9,0
0032501,1,3,0,21,24,3
0032502,1,0,0,0,0,0
0032600,1,3,0,30,36,3
0032700,1,0,0,12,12,0
0032800,1,0,0,0,6,0
0032900,1,0,0,12,12,0
0033000,1,0,0,21,21,0
0033100,1,0,0,45,48,3
0033200,1,0,0,9,12,3
0033300,1,0,0,0,6,0
0033400,1,3,0,18,18,0
0033500,1,0,0,6,9,0
0033600,1,3,0,39,45,0
0033700,1,6,0,45,51,0
0033800,1,0,0,39,42,3
0033900,1,3,0,24,27,0
0034000,1,0,0,12,12,0
0034101,1,3,3,45,54,3
0034102,1,0,3,9,9,0
0034201,1,3,3,21,27,0
0034202,1,3,0,27,33,0
0034301,1,0,0,12,12,0
0034302,1,0,0,0,0,0
0034400,1,0,0,15,21,3
0034500,1,3,0,12,12,0
0034600,1,0,0,24,24,0
0034700,1,3,3,39,42,3
0034800,1,3,0,12,15,0
0034900,1,3,0,15,21,3
0035000,1,0,0,30,30,0
0035100,1,0,0,6,6,0
0035200,1,3,0,36,42,0
0035300,1,3,3,9,12,0
0035401,1,0,0,0,3,0
0035402,1,3,0,9,12,0
0035501,1,3,0,9,15,0
0035502,1,0,0,0,0,0
0035600,1,3,0,18,21,0
0035700,1,3,0,36,42,0
0035800,1,6,0,27,36,3
0035900,1,3,0,30,39,3
0036000,1,0,3,9,12,0
0036100,1,0,0,15,15,0
0036202,1,0,0,0,3,0
0036203,1,0,0,0,3,0
0036204,1,0,0,0,3,0
0036301,1,0,0,0,6,0
0036302,1,0,0,30,30,0
0036303,1,0,0,0,3,0
0036401,1,0,0,12,15,0
0036402,1,0,0,0,3,0
0036500,1,0,0,15,18,3
0036600,1,0,0,0,0,0
0036700,1,6,0,27,36,3
0036800,1,0,0,9,9,0
0036901,1,0,0,0,3,0
0036902,1,0,0,6,6,0
0037000,1,0,0,18,21,3
0037100,1,0,0,0,3,0
0037202,1,0,0,0,6,0
0037203,1,0,0,0,0,0
0037204,1,0,0,0,0,0
0037205,1,0,0,0,0,0
0037301,1,0,0,0,0,0
0037302,1,0,0,0,3,0
0037401,1,3,0,27,33,3
0037402,1,12,0,39,48,3
0037501,1,0,0,12,15,0
0037502,1,3,0,6,9,0
0037600,1,0,0,12,21,6
0037701,1,0,0,0,6,0
0037702,1,0,0,9,9,0
0037802,1,9,0,51,60,0
0037803,1,0,0,18,18,0
0037804,1,0,0,0,3,0
0037805,1,0,0,0,6,0
0037806,1,0,0,0,0,0
0037807,1,0,0,18,15,3
0037901,1,3,0,12,18,0
0037902,1,0,0,0,0,0
0038001,1,3,0,3,9,3
0038002,1,0,0,0,0,0
0038100,1,0,0,18,18,0
0038200,1,3,0,24,24,3
0038300,1,3,0,9,15,0
0038400,1,0,0,12,12,0
0038500,1,3,0,15,21,3
0038600,1,3,0,15,18,0
0038700,1,9,0,12,21,0
0038800,1,0,0,0,3,0
0038900,1,3,3,9,15,0
0039000,1,6,0,21,30,3
0039100,1,0,0,15,15,0
0039200,1,3,0,6,12,0
0039300,1,0,0,6,6,0
0039400,1,0,0,0,6,0
0039500,1,9,0,18,30,3
0039600,1,3,0,12,18,0
0039701,1,0,0,0,6,0
0039702,1,0,0,0,6,0
0039800,1,3,0,9,9,0
0039900,1,6,0,24,30,0
0040001,1,0,0,0,3,0
0040002,1,0,0,6,6,0
0040100,1,0,0,0,9,0
0040200,1,6,0,9,18,0
0040300,1,0,0,9,9,0
0040400,1,0,0,0,6,0
0040501,1,3,0,12,18,0
0040502,1,0,0,0,0,0
0040601,1,0,0,12,15,0
0040602,1,0,0,0,0,0
0040701,1,6,0,33,42,6
0040702,1,3,0,12,18,3
0040703,1,6,0,27,33,0
0040801,1,3,0,30,39,6
0040802,1,3,0,12,15,0
0040900,1,3,0,27,30,3
0041000,1,18,0,6,36,12
0041100,1,12,0,21,39,6
0041200,1,9,0,42,60,9
0041300,1,6,0,54,63,3
0041401,1,0,0,21,18,0
0041402,1,3,0,18,36,9
0041403,1,3,0,30,33,0
0041500,1,0,0,9,9,0
0041600,1,0,0,18,27,6
0041700,1,3,0,39,48,6
0041800,1,6,0,24,36,9
0041900,1,3,0,30,33,0
0042001,1,3,0,30,33,0
0042002,1,6,0,21,30,3
0042101,1,0,0,0,6,0
0042102,1,3,0,18,24,3
0042103,1,3,0,18,21,0
0042201,1,0,0,0,0,0
0042202,1,15,0,45,72,15
0042300,1,12,0,36,48,3
0042400,1,12,0,18,33,0
0042500,1,6,0,21,30,6
0042600,1,3,0,9,18,3
0042700,1,0,0,21,27,3
0042800,1,0,0,0,0,0
0042900,1,6,0,9,18,3
0043000,1,6,0,30,39,0
0043100,1,12,0,24,39,6
0043200,1,3,0,24,39,12
0043300,1,6,0,12,21,3
0043400,1,0,0,12,12,0
0043500,1,6,0,33,45,6
0043600,1,0,0,18,21,3
0043700,1,0,0,0,3,0
0043800,1,3,0,30,36,3
0043902,1,0,0,9,9,0
0043904,1,3,0,36,36,0
0043905,1,0,3,27,36,3
0043906,1,3,0,60,66,3
