meshblock_id,census_year_id,married,never,not_elsewhere_included,separated,total,total_stated
49802,1,123,33,9,18,180,174
49901,1,27,9,0,15,51,48
49903,1,0,0,0,0,0,0
49904,1,9,0,6,0,18,9
49905,1,27,3,0,6,36,33
50001,1,12,3,3,3,24,18
50002,1,0,0,0,0,6,0
50003,1,21,15,9,6,54,42
50004,1,9,0,0,0,12,9
50100,1,99,45,9,30,183,177
50201,1,0,0,0,0,9,0
50202,1,0,0,0,0,3,0
50303,1,21,24,6,12,63,57
50304,1,18,9,6,9,45,39
50305,1,30,15,6,6,57,51
50306,1,27,12,3,12,54,51
50307,1,12,12,15,6,45,30
50308,1,21,9,3,3,36,33
50309,1,15,15,6,6,42,36
50310,1,24,9,3,3,42,36
50311,1,12,9,0,12,33,33
50400,1,15,18,3,9,48,42
50501,1,0,0,0,0,9,6
50502,1,0,0,0,0,0,0
50503,1,0,0,0,0,6,6
50602,1,0,0,0,0,0,0
50603,1,0,0,0,0,6,0
50604,1,0,6,3,3,12,9
50605,1,18,6,6,6,36,30
50701,1,6,3,3,0,12,9
50703,1,0,0,0,0,0,0
50704,1,0,0,0,0,0,0
50705,1,18,3,0,3,24,24
50706,1,0,0,0,0,3,0
50707,1,0,0,0,0,0,0
50708,1,0,0,0,0,6,0
50802,1,0,0,0,0,0,0
50803,1,9,3,0,21,36,36
50804,1,39,6,3,12,54,54
50805,1,0,0,0,0,3,0
50806,1,0,3,3,3,9,3
50901,1,0,0,0,0,0,0
50902,1,3,6,9,3,15,6
51000,1,0,0,0,0,0,0
51101,1,9,3,102,3,114,9
51102,1,6,18,0,3,30,27
51201,1,30,15,9,12,63,54
51202,1,9,9,3,21,45,42
51300,1,57,24,21,21,120,102
51401,1,48,12,9,18,87,78
51402,1,6,3,9,0,15,9
51403,1,27,15,6,3,54,48
51405,1,0,0,0,0,0,0
51406,1,81,12,6,18,114,108
51407,1,33,15,3,12,66,63
51408,1,51,15,9,18,90,84
51409,1,27,21,6,15,66,60
51501,1,18,6,6,6,39,33
51502,1,12,3,3,12,27,27
51504,1,0,0,0,0,3,0
51505,1,9,0,33,9,51,15
51506,1,15,3,0,3,18,18
51507,1,12,6,3,0,21,18
51508,1,0,0,0,0,0,0
51601,1,33,12,6,6,51,45
51602,1,0,0,0,0,0,0
51700,1,18,9,6,3,33,30
51800,1,15,9,0,3,27,24
51900,1,6,0,0,3,9,9
52001,1,12,6,3,6,27,18
52002,1,6,3,3,3,18,15
52100,1,18,6,6,0,30,24
52200,1,0,0,0,0,0,0
52300,1,33,15,9,9,69,57
52400,1,0,0,0,0,6,6
52501,1,6,6,0,3,12,12
52502,1,9,3,0,0,15,12
52600,1,0,0,0,0,3,0
52700,1,15,24,6,9,51,48
52800,1,15,15,3,6,39,33
52902,1,42,12,3,9,66,63
52903,1,24,9,0,12,42,42
52904,1,36,3,0,6,45,45
52905,1,24,3,3,6,36,30
52906,1,36,9,0,6,51,51
52907,1,27,3,3,6,39,39
53001,1,60,15,6,12,90,84
53002,1,36,9,6,9,60,54
