meshblock_id,census_year_id,full_and_part_time,full_time,not_stated,not_studying,part_time,total,total_stated
2956000,2,0,3,3,39,0,45,42
2956100,2,0,6,6,90,3,108,99
2956200,2,0,6,6,102,9,120,114
2956300,2,0,0,0,27,0,30,27
2956400,2,0,3,0,9,0,12,12
2956500,2,0,0,0,6,0,6,9
2956600,2,0,0,0,0,0,3,0
2956702,2,0,0,0,12,0,12,12
2956703,2,0,6,3,48,3,57,54
2956704,2,0,0,0,9,0,9,9
2956800,2,0,3,3,39,3,48,45
2956900,2,0,6,6,84,3,102,93
2957000,2,0,6,6,48,0,57,54
2957100,2,0,6,6,57,3,72,66
2957200,2,0,6,0,30,0,36,36
2957300,2,0,9,9,48,6,72,63
2957400,2,0,3,3,60,3,69,63
2957501,2,0,3,0,21,3,27,24
2957502,2,0,3,0,12,3,15,15
2957600,2,0,6,9,54,3,69,60
2957700,2,0,0,0,0,0,3,0
2957800,2,0,0,0,6,0,9,6
2957900,2,0,3,3,12,3,21,15
2958000,2,0,6,15,90,3,114,99
2958100,2,0,6,3,78,3,90,87
2958200,2,0,0,6,24,3,33,27
2958300,2,0,0,3,45,0,51,48
2958400,2,0,9,6,48,3,66,57
2958500,2,0,6,6,54,3,69,63
2958600,2,0,3,6,39,0,51,45
2958700,2,0,3,6,54,0,63,57
2958800,2,0,0,0,21,0,24,21
2958900,2,0,6,12,90,3,111,102
2959000,2,0,6,6,63,6,81,78
2959100,2,0,3,12,45,3,60,48
2959200,2,0,3,15,72,3,90,75
2959300,2,0,3,9,33,3,48,39
2959400,2,0,6,9,51,0,72,57
2959500,2,0,9,6,48,3,66,60
2959600,2,0,3,6,24,6,36,33
2959701,2,0,3,6,90,3,99,93
2959702,2,0,0,3,9,0,12,9
2959800,2,0,9,9,69,3,90,81
2959900,2,0,0,12,69,3,84,72
2960000,2,0,3,3,9,0,18,12
2960100,2,0,3,9,30,0,42,33
2960200,2,0,0,0,18,0,18,18
2960300,2,0,0,3,12,0,18,15
2960400,2,0,0,0,15,3,21,18
2960500,2,0,0,0,12,0,18,15
2960600,2,0,3,3,24,0,27,24
2960700,2,0,3,0,15,3,18,18
2960800,2,0,0,6,21,0,27,21
2960900,2,0,0,0,15,3,21,21
2961000,2,0,12,12,138,3,165,153
2961101,2,0,6,18,93,3,120,105
2961102,2,0,6,6,108,6,129,120
2961103,2,0,0,3,27,0,30,27
2961200,2,0,3,0,72,3,78,78
2961300,2,0,18,12,141,0,171,159
2961400,2,0,3,3,39,3,45,42
2961500,2,0,0,3,63,6,75,72
2961600,2,0,3,3,39,0,48,42
2961700,2,0,3,6,48,3,63,54
2961800,2,0,0,3,51,0,60,54
2961900,2,0,3,3,27,0,33,33
2962000,2,0,3,3,48,3,51,51
2962100,2,0,0,6,30,0,36,30
2962200,2,0,3,3,36,0,45,39
2962300,2,0,3,3,39,3,48,48
2962400,2,0,0,3,30,0,33,30
2962500,2,0,3,6,51,0,60,54
2962600,2,0,0,3,27,3,36,33
2962700,2,0,3,6,45,3,57,51
2962800,2,0,9,3,57,3,72,66
2962900,2,0,6,9,99,9,123,117
2963000,2,0,3,3,39,3,51,45
2963100,2,0,6,9,48,0,63,54
2963200,2,0,3,6,60,6,72,69
2963300,2,0,0,6,36,3,45,42
2963400,2,0,0,12,60,3,69,60
2963500,2,0,3,3,12,3,21,15
2963600,2,0,0,0,0,0,3,0
2963700,2,0,0,15,75,0,90,75
2963800,2,0,0,15,57,0,72,57
2963900,2,0,0,0,0,0,0,0
2964001,2,0,15,9,135,12,168,159
2964002,2,0,6,15,90,0,111,96
2964003,2,0,12,12,189,15,228,216
2964100,2,0,3,9,60,3,69,66
2964200,2,0,3,0,42,6,51,51
2964300,2,0,3,3,39,3,48,45
2964400,2,0,3,0,39,0,42,42
2964500,2,0,0,3,33,3,39,36
2964600,2,0,0,3,33,3,36,36
2964700,2,0,0,6,33,3,42,36
2964800,2,0,0,6,36,0,42,36
2964900,2,0,0,9,45,0,54,45
2965000,2,0,3,15,72,0,90,75
2965100,2,0,3,12,39,3,57,48
2965200,2,0,6,12,81,6,102,90
2965300,2,0,6,9,69,3,84,75
2965400,2,0,6,3,54,3,69,66
2965500,2,0,3,3,39,3,54,48
2965600,2,0,3,6,87,0,99,90
2965700,2,0,3,15,114,6,135,123
2965801,2,0,9,9,120,6,141,132
2965803,2,0,6,21,90,3,117,96
2965804,2,0,3,0,24,0,27,27
2965805,2,0,0,6,30,0,33,30
2965806,2,0,0,3,33,0,36,33
2965807,2,0,0,9,24,0,33,24
2965808,2,0,0,12,57,0,69,57
2965809,2,0,0,3,18,0,21,18
2965901,2,0,0,0,0,0,9,0
2965902,2,0,0,0,6,0,6,6
2965903,2,0,3,0,12,0,15,15
2966000,2,0,3,3,30,3,39,36
2966100,2,0,0,9,48,0,57,48
2966200,2,0,3,3,21,0,27,27
2966300,2,0,3,9,24,6,39,33
2966400,2,0,3,6,54,6,69,63
2966500,2,0,3,15,42,0,63,48
2966603,2,0,6,15,162,9,195,180
2966604,2,0,6,6,69,3,84,78
2966606,2,0,0,6,33,3,42,33
2966607,2,0,3,12,93,3,111,96
2966608,2,0,12,12,108,3,141,126
2966609,2,0,0,3,27,0,33,30
2966610,2,0,0,6,33,3,39,33
2966611,2,0,0,6,51,0,60,54
2966612,2,0,0,6,39,0,45,39
2966613,2,0,0,12,30,0,42,33
2966700,2,0,6,6,48,0,63,57
2966800,2,0,3,6,69,6,87,81
2966900,2,0,0,9,72,3,84,78
2967000,2,0,3,3,30,6,42,36
2967100,2,0,3,3,24,0,30,30
2967200,2,0,0,0,0,0,3,0
2967300,2,0,0,0,9,0,9,9
2967400,2,0,0,3,21,0,27,24
2967500,2,0,3,9,69,6,87,81
2967600,2,0,12,12,78,3,105,93
2967700,2,0,3,3,18,3,24,24
2967800,2,0,6,18,105,9,135,117
2967900,2,0,6,12,123,6,147,138
2968000,2,0,0,6,36,0,42,36
2968100,2,0,3,6,48,0,57,54
2968200,2,0,3,12,99,3,114,102
2968300,2,0,3,3,66,3,75,72
2968400,2,0,15,9,99,3,126,117
2968500,2,0,6,3,63,3,75,72
2968600,2,0,6,9,99,3,114,105
2968700,2,0,0,12,105,3,123,108
2968800,2,0,6,12,81,3,99,90
2968900,2,0,0,3,36,3,42,39
2969000,2,0,3,9,60,3,72,63
2969100,2,0,6,15,114,6,138,126
2969200,2,0,3,36,111,3,153,117
2969300,2,0,9,12,87,6,117,105
2969400,2,0,3,3,48,0,57,51
2969500,2,0,6,6,90,0,99,96
2969600,2,0,9,6,120,3,144,135
2969701,2,0,3,3,39,3,48,45
2969703,2,0,0,0,0,0,0,0
2969704,2,0,3,0,12,3,18,15
2969800,2,0,0,0,6,0,9,9
2969900,2,0,3,3,63,9,78,75
2970000,2,0,15,12,138,6,168,156
2970100,2,0,6,3,102,6,114,114
2970200,2,0,3,0,45,3,48,48
2970300,2,0,12,21,219,18,270,249
2970401,2,0,0,0,12,0,15,15
2970402,2,0,9,6,48,3,63,57
2970500,2,0,6,12,117,3,141,129
2970600,2,0,0,6,27,0,33,27
2970700,2,0,0,3,33,0,36,30
2970800,2,0,3,9,63,3,75,69
2970900,2,0,3,6,57,0,63,60
2971000,2,0,6,6,51,6,66,60
2971100,2,0,6,6,54,3,66,60
2971200,2,0,9,9,87,6,108,102
2971300,2,0,9,6,84,3,99,93
2971400,2,0,15,9,114,0,141,132
2971500,2,0,0,6,75,3,87,81
2971600,2,0,6,15,87,3,114,99
2971700,2,0,3,6,48,3,57,51
2971800,2,0,0,3,18,0,21,21
2971900,2,0,3,6,12,3,21,15
