meshblock_id,census_year_id,household,looking_after_child_not_own_household,looking_after_child_own_household,looking_after_not_own_household_member_who_is_ill_or_disable,looking_after_own_household_member_who_is_ill_or_disabled,none,not_elsewhere_included,total,total_stated,voluntary
1254301,2,9,0,0,0,0,0,0,15,15,6
1254302,2,27,6,12,6,3,9,0,39,36,9
1254303,2,48,6,27,3,6,0,6,54,48,3
1254304,2,45,9,15,3,3,12,3,60,57,12
1254305,2,21,3,9,0,0,3,3,27,24,0
1254306,2,39,18,15,0,0,3,0,48,45,3
1254307,2,45,15,27,9,9,3,12,60,51,9
1254403,2,66,21,30,6,3,6,6,78,75,9
1254404,2,99,18,51,6,6,9,6,114,108,3
1254405,2,0,0,0,0,0,0,0,3,0,0
1254407,2,120,27,60,9,18,6,9,138,126,30
1254408,2,27,3,12,3,3,0,6,33,27,3
1254409,2,48,9,15,6,6,6,3,60,54,9
1254410,2,42,3,0,9,3,12,3,63,57,12
1254411,2,45,9,24,6,9,0,0,48,45,9
1254412,2,51,9,15,6,3,3,6,63,54,15
1254501,2,69,15,27,12,6,12,6,96,87,9
1254502,2,63,9,18,9,3,63,12,138,126,9
1254503,2,84,24,57,6,6,12,15,108,96,15
1254504,2,114,27,39,15,9,9,3,135,129,21
1254505,2,66,6,6,6,6,18,6,93,84,18
1254600,2,135,48,54,15,18,33,24,204,180,33
1254700,2,75,12,36,9,12,9,27,114,84,9
1254800,2,30,9,18,0,3,3,6,39,33,9
1254900,2,84,18,42,6,12,6,15,108,96,12
1255000,2,42,12,24,12,6,6,9,57,48,15
1255100,2,51,12,27,6,6,6,3,60,57,9
1255200,2,141,18,66,12,9,9,9,159,153,27
1255300,2,90,18,39,9,6,6,3,99,96,21
1255400,2,129,33,66,9,15,12,12,162,150,24
1255500,2,84,27,30,12,9,12,6,102,96,18
1255600,2,78,21,30,6,3,3,9,93,84,15
1255700,2,93,15,45,6,9,6,12,111,99,18
1255800,2,99,27,48,15,6,9,6,117,111,12
1255900,2,87,15,39,6,9,6,6,102,96,6
1256000,2,84,12,36,9,9,6,3,96,93,15
1256100,2,87,21,42,12,9,12,6,111,105,12
1256201,2,192,36,78,24,18,24,12,231,222,39
1256204,2,114,21,36,9,9,9,9,138,129,15
1256205,2,126,18,48,12,12,12,9,144,138,30
1256207,2,117,21,33,21,6,6,9,135,126,21
1256208,2,108,15,39,12,6,6,6,123,114,30
1256209,2,60,15,27,0,6,3,3,69,66,6
1256210,2,120,21,48,12,12,6,3,129,126,27
1256302,2,90,12,45,9,3,6,3,102,99,15
1256305,2,36,6,15,6,3,6,3,42,39,12
1256306,2,51,12,27,6,12,6,3,57,54,15
1256307,2,42,6,9,6,3,3,3,51,48,15
1256308,2,0,0,0,0,0,0,0,0,0,0
1256309,2,48,3,18,3,3,3,0,48,48,6
1256310,2,0,0,0,0,0,0,0,0,0,0
1256311,2,0,0,0,0,0,0,0,3,0,0
1256312,2,75,12,27,15,6,3,3,78,78,21
1256313,2,48,9,27,3,3,3,3,51,51,9
1256314,2,33,3,12,3,0,0,12,48,39,12
1256400,2,90,18,39,9,6,6,6,105,99,15
1256500,2,9,0,9,0,0,0,0,12,12,0
1256600,2,30,9,12,3,3,3,3,36,33,9
1256700,2,72,15,36,6,12,12,9,93,87,18
1256800,2,54,6,12,3,3,12,6,72,66,15
1256900,2,69,24,24,9,12,6,15,96,78,15
1257000,2,42,12,21,3,6,9,3,57,51,15
1257100,2,30,9,12,3,3,6,3,42,39,12
1257200,2,93,15,39,12,9,6,9,114,102,18
1257300,2,45,12,24,9,6,3,3,54,48,12
1257400,2,63,12,36,15,12,6,6,72,69,21
1257500,2,0,0,0,0,0,0,0,0,0,0
1257600,2,27,9,15,3,6,3,6,36,27,9
1257700,2,93,30,42,15,15,9,15,120,108,36
1257800,2,12,0,0,0,0,0,0,12,12,0
1257900,2,0,0,0,0,0,0,0,0,0,0
1258000,2,0,0,0,0,0,0,0,0,0,0
1258100,2,0,0,0,0,0,0,0,0,0,0
1258200,2,0,0,0,0,0,0,0,0,0,0
1258300,2,0,0,0,0,0,0,0,0,0,0
