meshblock_id,census_year_id,ex,never,not_elsewhere_included,regular,total,total_stated
34400,2,21,30,3,12,66,63
34500,2,6,24,0,3,33,33
34600,2,15,27,6,3,54,48
34700,2,18,36,24,21,96,72
34800,2,3,15,3,3,27,24
34900,2,15,18,6,9,48,42
35000,2,15,33,6,6,63,57
35100,2,3,6,6,0,18,9
35200,2,27,39,9,18,90,81
35300,2,6,12,0,3,21,18
35401,2,0,0,0,0,9,6
35402,2,0,9,9,3,24,12
35501,2,15,15,0,6,39,39
35502,2,0,0,0,0,6,6
35600,2,6,15,6,9,42,33
35700,2,18,45,6,21,90,84
35800,2,21,33,18,18,90,72
35900,2,18,45,6,18,87,81
36000,2,6,21,3,3,33,30
36100,2,6,27,9,9,51,39
36202,2,0,0,0,0,3,0
36203,2,0,6,3,3,12,9
36204,2,0,0,0,0,6,0
36301,2,0,6,6,0,15,9
36302,2,9,33,9,12,57,48
36303,2,9,9,3,3,21,21
36401,2,6,15,12,3,36,27
36402,2,0,0,0,0,6,6
36500,2,12,18,12,3,42,30
36600,2,0,0,0,0,0,0
36700,2,12,24,18,27,78,60
36800,2,0,9,3,12,21,18
36901,2,0,0,0,0,6,0
36902,2,0,3,3,3,12,9
37000,2,18,42,138,63,261,123
37100,2,3,3,9,6,21,12
37202,2,3,3,9,6,18,12
37203,2,0,0,0,0,0,0
37204,2,0,0,0,0,0,0
37205,2,0,0,0,0,0,0
37301,2,0,0,0,0,3,0
37302,2,0,0,0,0,3,0
37401,2,15,21,15,21,72,57
37402,2,15,18,27,30,96,66
37501,2,6,21,6,24,54,48
37502,2,0,9,12,3,21,12
37600,2,6,9,12,6,33,24
37701,2,0,6,3,6,15,15
37702,2,3,6,6,6,18,12
37802,2,15,39,33,63,153,117
37803,2,9,15,3,12,36,33
37804,2,0,0,0,0,9,6
37805,2,0,0,0,0,9,6
37806,2,0,0,0,0,0,0
37807,2,6,27,15,6,60,42
37901,2,9,9,3,9,27,27
37902,2,0,0,0,0,0,0
38001,2,6,9,3,6,21,18
38002,2,0,0,0,0,0,0
38100,2,9,15,18,18,57,39
38200,2,6,15,6,21,45,39
38300,2,9,12,0,6,27,27
38400,2,6,9,6,3,24,18
38500,2,9,12,9,15,45,36
38600,2,15,15,6,9,42,36
38700,2,6,12,9,18,42,33
38800,2,0,0,0,0,3,0
38900,2,6,12,3,3,24,21
39000,2,9,18,15,18,63,48
39100,2,6,12,0,15,36,33
39200,2,3,12,0,18,36,33
39300,2,3,6,0,3,15,15
39400,2,0,0,0,0,6,0
39500,2,3,18,15,15,51,33
39600,2,6,9,15,9,42,27
39701,2,3,0,9,0,15,6
39702,2,3,3,6,9,21,15
39800,2,3,6,9,9,27,21
39900,2,6,27,24,9,66,42
40001,2,0,0,0,0,0,0
40002,2,0,3,3,3,12,9
40100,2,0,6,6,6,18,15
40200,2,3,6,9,9,27,18
40300,2,0,0,9,0,9,3
40400,2,0,9,6,9,21,15
40501,2,3,24,6,12,48,42
40502,2,0,0,0,0,0,0
40601,2,6,18,9,6,36,27
40602,2,0,0,0,0,0,0
40701,2,15,33,6,33,90,87
40702,2,6,12,6,15,36,30
40703,2,21,27,9,18,75,66
40801,2,12,30,9,18,72,60
40802,2,6,12,9,12,33,27
40900,2,21,18,15,18,69,57
41000,2,9,15,12,18,54,42
41100,2,21,36,12,18,84,75
41200,2,24,42,24,36,126,99
41300,2,27,69,18,30,141,123
41401,2,3,12,9,12,36,30
41402,2,9,15,12,27,66,54
41403,2,15,21,12,24,69,57
41500,2,3,6,3,3,15,12
41600,2,9,15,9,18,54,42
41700,2,15,33,15,33,99,81
41800,2,15,33,12,18,75,63
41900,2,12,15,12,21,66,51
42001,2,12,3,12,30,60,45
42002,2,9,24,21,24,78,60
42101,2,3,3,6,6,18,12
42102,2,9,15,9,12,45,33
42103,2,6,15,12,21,51,42
42201,2,3,0,45,0,48,0
42202,2,21,39,33,60,153,120
42300,2,15,33,27,30,105,81
42400,2,9,24,15,27,75,60
42500,2,12,18,33,15,78,48
42600,2,3,9,6,12,36,24
42700,2,9,21,12,18,60,51
42800,2,0,0,0,0,3,0
42900,2,3,15,9,21,48,39
43000,2,9,30,24,24,87,63
43100,2,15,18,18,27,78,57
43200,2,6,21,21,36,87,66
43300,2,6,12,9,12,36,30
43400,2,6,6,0,6,24,18
43500,2,15,27,9,42,90,84
43600,2,6,18,9,12,45,36
43700,2,0,3,6,9,21,15
43800,2,36,48,3,21,105,102
43902,2,9,15,0,3,30,27
43904,2,15,39,3,18,78,75
43905,2,18,60,6,18,102,99
43906,2,39,75,27,36,174,147
43907,2,27,45,9,24,102,93
44003,2,24,63,21,27,135,114
44004,2,21,45,6,18,87,84
44005,2,30,57,9,24,120,111
44006,2,15,24,24,21,90,63
44007,2,3,0,6,0,15,6
44008,2,15,21,3,9,45,45
44101,2,0,0,0,0,0,0
44102,2,33,78,42,48,201,162
44201,2,6,6,6,24,45,36
44202,2,0,0,0,0,0,0
44301,2,9,36,12,12,66,54
44302,2,0,0,0,0,0,0
44402,2,0,0,0,0,9,9
44403,2,24,42,6,3,72,66
44404,2,51,63,12,21,147,132
44405,2,12,33,6,9,57,51
44406,2,30,75,3,9,114,114
44501,2,63,111,9,39,222,210
44503,2,3,6,6,3,18,12
44504,2,18,21,3,15,63,60
44505,2,30,39,6,15,93,84
44506,2,6,6,0,3,12,12
44507,2,24,48,3,3,75,75
44508,2,12,24,3,6,45,39
44602,2,27,36,21,12,96,78
44603,2,9,15,0,6,30,30
44604,2,0,0,0,0,3,0
44605,2,18,36,6,9,69,63
44606,2,9,18,3,6,33,30
44607,2,15,30,3,3,48,45
44608,2,9,6,3,6,21,21
44609,2,6,18,3,6,33,30
44610,2,3,9,0,3,15,15
44611,2,0,0,0,0,0,0
44701,2,24,39,9,9,78,72
44702,2,36,60,9,21,126,117
44703,2,0,0,0,0,6,6
44801,2,36,63,6,27,132,126
44803,2,15,24,3,3,45,42
44804,2,12,15,3,12,39,36
44805,2,6,15,3,3,27,27
44806,2,15,30,0,6,54,54
44807,2,12,21,3,9,42,42
44808,2,15,24,6,3,45,39
44901,2,3,24,0,6,36,33
44902,2,0,0,0,0,6,9
45000,2,9,18,3,21,51,48
45100,2,6,12,3,15,36,33
45200,2,9,24,3,3,36,36
45300,2,6,30,9,6,48,39
45400,2,6,12,12,15,45,36
45500,2,9,21,0,0,27,27
45600,2,9,12,3,6,27,27
45700,2,3,6,3,6,18,15
45800,2,9,18,6,6,36,33
45901,2,9,15,3,12,33,33
45902,2,0,21,3,3,27,24
46001,2,3,6,0,9,21,21
46002,2,6,3,3,6,18,15
46100,2,6,15,3,6,27,24
46200,2,0,0,0,0,9,6
46300,2,3,12,3,9,27,24
46400,2,3,21,3,9,39,36
46500,2,0,9,9,6,24,15
46600,2,3,6,0,3,12,12
46700,2,0,6,15,9,33,18
46801,2,3,0,6,0,9,6
46802,2,0,3,3,6,9,9
46901,2,0,0,3,3,9,6
46902,2,0,0,9,0,9,0
47001,2,3,3,0,3,9,9
47002,2,6,6,3,12,30,27
47100,2,3,0,3,3,9,9
47200,2,3,6,0,3,12,12
47301,2,9,12,3,12,33,30
47302,2,0,0,0,0,6,0
47400,2,3,3,6,3,12,6
47500,2,0,6,6,3,15,6
47601,2,3,6,0,6,12,12
47602,2,3,3,0,3,9,9
47603,2,15,18,9,18,60,51
47701,2,6,15,3,6,33,30
47702,2,0,0,0,0,6,0
47801,2,0,6,0,6,12,9
47802,2,0,6,0,6,12,12
47901,2,9,18,0,9,36,36
47902,2,0,0,0,0,6,0
48001,2,0,12,0,3,15,15
48003,2,0,0,0,0,0,0
48004,2,6,15,6,6,33,27
48101,2,0,0,0,0,0,0
48102,2,6,6,3,3,18,18
48201,2,0,0,0,0,0,0
48203,2,3,9,6,18,36,27
48204,2,9,15,9,18,54,45
48205,2,9,6,0,3,18,18
48301,2,0,0,0,0,0,0
48303,2,27,21,0,12,63,63
48304,2,12,15,9,3,39,30
48403,2,0,0,0,0,0,0
48404,2,24,39,6,36,102,99
48405,2,0,0,0,0,0,0
48406,2,0,0,0,0,0,0
48407,2,0,0,0,0,3,0
48408,2,24,45,3,6,84,75
48409,2,30,48,9,15,102,93
48410,2,27,42,9,21,99,87
48500,2,15,15,0,15,45,45
48601,2,0,0,0,0,6,0
48602,2,0,0,0,0,3,0
48701,2,0,0,0,0,3,0
48702,2,9,27,9,15,63,54
48800,2,3,9,3,6,24,18
48900,2,6,9,6,9,27,21
49000,2,9,15,12,12,51,39
49102,2,3,12,6,12,33,30
49103,2,0,0,0,0,0,0
49104,2,0,0,0,0,6,0
49105,2,0,0,0,0,0,0
49203,2,0,0,0,0,0,0
49204,2,57,84,15,33,192,174
49205,2,0,0,0,0,0,0
49206,2,21,36,15,24,102,84
49302,2,36,78,15,24,150,135
49303,2,12,18,0,3,33,30
49304,2,6,3,3,0,12,12
49305,2,9,21,3,3,39,36
49306,2,18,24,0,3,48,48
49307,2,9,21,3,6,39,36
49401,2,27,75,6,27,135,129
49403,2,0,0,0,0,9,6
49404,2,0,0,0,0,3,0
49405,2,15,33,3,12,63,57
49406,2,12,18,6,18,54,51
49407,2,15,21,3,18,54,51
49501,2,6,12,3,3,30,24
49502,2,0,0,0,0,6,0
49503,2,3,6,0,0,12,9
49504,2,24,27,3,12,66,63
49505,2,6,21,3,6,33,30
49506,2,9,9,0,3,24,21
49507,2,0,6,0,6,15,12
49600,2,33,78,18,27,153,138
49700,2,54,105,15,42,216,204
49801,2,33,48,54,18,159,102
49802,2,66,81,15,39,198,186
49901,2,18,36,3,21,78,75
49903,2,6,6,0,0,15,12
49904,2,6,3,0,0,12,12
49905,2,15,24,3,3,45,42
50001,2,15,36,0,6,60,60
50002,2,6,3,3,3,9,9
50003,2,6,24,6,3,36,30
50004,2,9,6,3,9,27,24
50100,2,66,123,21,51,261,240
50201,2,0,3,3,6,9,9
50202,2,0,0,0,0,9,6
50303,2,21,24,9,15,66,60
50304,2,12,12,3,9,36,33
50305,2,15,18,9,15,57,48
50306,2,12,21,6,12,51,48
50307,2,6,9,6,24,45,39
50308,2,3,12,6,12,33,27
50309,2,12,21,6,15,57,51
50310,2,15,12,6,6,42,36
50311,2,9,15,3,9,36,36
50400,2,21,27,9,15,72,63
50501,2,3,6,3,0,9,6
50502,2,0,0,0,0,0,0
50503,2,0,0,0,0,6,6
50602,2,0,0,0,0,0,0
50603,2,0,0,0,0,0,0
50604,2,3,6,3,6,15,12
50605,2,12,21,9,3,48,39
50701,2,0,6,3,6,15,15
50703,2,0,0,0,0,0,0
50704,2,0,0,0,0,0,0
50705,2,21,51,3,6,84,81
50706,2,0,0,0,0,0,0
50707,2,0,0,0,0,0,0
50708,2,0,0,0,0,0,0
50802,2,0,0,0,0,6,0
50803,2,15,30,6,9,60,51
50804,2,30,60,6,18,114,105
50805,2,0,0,0,0,0,0
50806,2,0,0,0,0,3,0
50901,2,0,0,0,0,0,0
50902,2,3,3,3,3,12,9
51000,2,0,0,0,0,6,0
51101,2,6,3,21,12,42,21
51102,2,0,0,0,0,9,9
51201,2,24,33,9,12,75,69
51202,2,12,21,3,3,42,36
51300,2,36,57,9,12,114,105
51401,2,27,54,3,12,99,96
51402,2,6,12,3,3,27,21
51403,2,15,21,6,21,63,57
51405,2,0,0,0,0,0,0
51406,2,30,60,24,36,150,126
51407,2,15,42,15,15,84,69
51408,2,21,48,9,12,90,78
51409,2,24,24,9,9,69,57
51501,2,27,18,3,15,60,54
51502,2,9,15,3,6,33,27
51504,2,3,6,9,3,21,12
51505,2,0,0,0,0,3,0
51506,2,6,3,3,0,9,6
51507,2,6,9,0,6,24,21
51508,2,0,0,0,0,0,0
51601,2,12,30,6,15,66,60
51602,2,0,0,0,0,0,0
51700,2,6,21,12,9,45,33
51800,2,9,12,3,6,27,24
51900,2,3,9,0,0,12,12
52001,2,9,3,0,12,27,24
52002,2,0,9,9,3,21,12
52100,2,0,12,3,6,21,21
52200,2,0,0,0,0,0,0
52300,2,12,24,18,21,72,54
52400,2,6,12,0,0,18,18
52501,2,0,0,0,6,9,9
52502,2,0,0,0,0,6,6
52600,2,0,0,0,0,0,0
52700,2,3,12,12,18,45,33
52800,2,6,9,6,15,33,27
52902,2,21,36,6,15,78,75
52903,2,15,18,3,3,42,42
52904,2,21,33,0,9,63,63
52905,2,9,18,3,0,33,30
52906,2,12,39,6,12,69,63
52907,2,18,18,6,12,54,48
53001,2,27,54,3,15,96,93
53002,2,12,30,12,3,63,48
