meshblock_id,census_year_id,females,males,total
50202,1,3,3,6
50303,1,45,36,81
50304,1,24,33,54
50305,1,27,36,66
50306,1,33,42,75
50307,1,27,27,51
50308,1,21,21,42
50309,1,30,33,63
50310,1,30,24,51
50311,1,24,24,45
50400,1,27,30,57
50501,1,3,6,9
50502,1,0,0,0
50503,1,6,6,9
50602,1,0,0,0
50603,1,3,3,6
50604,1,6,9,12
50605,1,27,21,48
50701,1,3,6,12
50703,1,0,0,0
50704,1,0,0,0
50705,1,15,15,27
50706,1,0,0,0
50707,1,0,0,0
50708,1,3,3,6
50802,1,0,0,0
50803,1,21,15,39
50804,1,33,33,66
50805,1,0,0,3
50806,1,6,6,9
50901,1,0,0,0
50902,1,6,15,21
51000,1,0,0,3
51101,1,69,63,129
51102,1,15,21,33
51201,1,39,45,81
51202,1,24,27,54
51300,1,81,75,153
51401,1,45,54,99
51402,1,9,9,18
51403,1,33,33,63
51405,1,0,0,0
51406,1,69,63,135
51407,1,45,39,84
51408,1,51,63,117
51409,1,39,42,78
51501,1,18,27,48
51502,1,15,18,30
51504,1,0,0,3
51505,1,21,36,54
51506,1,9,12,21
51507,1,15,15,27
51508,1,0,0,0
51601,1,42,30,72
51602,1,0,0,0
51700,1,27,18,42
51800,1,18,18,36
51900,1,9,9,15
52001,1,24,27,51
52002,1,18,18,33
52100,1,18,21,39
52200,1,0,0,0
52300,1,51,54,105
52400,1,3,9,12
52501,1,9,9,15
52502,1,9,15,24
52600,1,0,0,3
52700,1,33,39,72
52800,1,27,36,66
52902,1,39,42,81
52903,1,33,30,63
52904,1,39,27,66
52905,1,18,18,36
52906,1,30,33,66
52907,1,21,30,51
53001,1,54,69,123
53002,1,42,39,78
53003,1,33,36,69
53004,1,48,51,102
53005,1,39,39,78
53101,1,39,39,78
53102,1,15,9,24
53200,1,60,54,114
53301,1,48,33,81
53303,1,36,33,66
53304,1,90,84,177
53305,1,51,57,108
53403,1,63,57,120
53404,1,93,36,129
53405,1,36,33,72
53406,1,102,87,186
53407,1,81,57,138
53408,1,18,21,39
53502,1,15,21,33
53503,1,24,9,30
53504,1,24,18,42
53505,1,15,9,27
53506,1,27,24,48
53507,1,0,0,0
53508,1,9,6,15
53509,1,24,18,42
53600,1,0,0,3
53700,1,54,54,105
53800,1,21,18,39
53900,1,48,51,99
54000,1,51,51,102
54100,1,6,12,15
54200,1,99,93,195
54300,1,12,18,30
54400,1,87,93,180
54501,1,75,66,141
54502,1,33,36,69
54600,1,45,42,87
54700,1,45,51,96
54801,1,48,51,96
54802,1,75,66,141
54900,1,39,30,69
55000,1,27,27,57
55100,1,24,21,42
55200,1,54,48,102
55300,1,39,36,75
55400,1,39,33,75
55500,1,24,42,63
55600,1,45,48,93
55700,1,30,30,60
55801,1,54,36,90
55802,1,33,30,63
55900,1,90,75,162
56001,1,27,24,51
56002,1,27,24,48
56100,1,51,51,102
56200,1,15,15,27
