meshblock_id,census_year_id,employer,not_elsewhere_included,paid_employee,self_employed_without_employee,total,total_stated,unpaid_family_worker
35501,1,0,3,12,3,21,18,3
35502,1,0,0,0,0,0,0,0
35600,1,0,0,15,6,24,24,3
35700,1,12,3,30,9,60,60,6
35800,1,0,0,27,12,45,45,3
35900,1,6,3,27,21,63,63,9
36000,1,0,0,6,3,12,12,0
36100,1,0,0,15,3,21,21,0
36202,1,0,0,0,0,0,0,0
36203,1,0,0,0,0,6,0,0
36204,1,0,0,6,0,6,6,0
36301,1,0,0,0,0,6,6,0
36302,1,3,0,18,9,36,33,6
36303,1,0,0,0,0,6,6,0
36401,1,0,3,6,6,15,12,0
36402,1,0,0,0,0,6,6,0
36500,1,3,0,15,3,24,24,3
36600,1,0,0,0,0,0,0,0
36700,1,0,0,21,3,30,27,0
36800,1,0,0,9,3,12,12,3
36901,1,0,0,0,0,6,6,0
36902,1,0,0,0,0,3,0,0
37000,1,3,0,15,3,21,24,3
37100,1,0,0,0,0,0,0,0
37202,1,0,0,0,0,6,0,0
37203,1,0,0,0,0,0,0,0
37204,1,0,0,0,0,0,0,0
37205,1,0,0,0,0,0,0,0
37301,1,0,0,0,0,0,0,0
37302,1,0,0,0,0,3,0,0
37401,1,3,0,27,3,30,33,3
37402,1,0,0,21,3,24,24,0
37501,1,0,0,9,0,12,9,0
37502,1,0,0,0,0,9,9,0
37600,1,0,0,6,3,9,12,0
37701,1,0,0,0,0,9,6,0
37702,1,0,0,0,0,3,0,0
37802,1,0,6,42,6,54,48,0
37803,1,0,0,18,3,18,18,0
37804,1,0,0,0,0,0,0,0
37805,1,0,0,0,0,3,0,0
37806,1,0,0,0,0,0,0,0
37807,1,6,3,24,0,30,30,0
37901,1,3,0,12,6,24,27,3
37902,1,0,0,0,0,0,0,0
38001,1,0,0,6,0,9,9,0
38002,1,0,0,0,0,0,0,0
38100,1,0,3,18,3,24,21,0
38200,1,0,0,9,0,9,9,0
38300,1,0,0,15,0,12,12,0
38400,1,0,0,6,6,12,15,3
38500,1,0,0,6,6,12,15,3
38600,1,3,0,12,3,24,21,3
38700,1,0,3,9,3,24,21,9
38800,1,0,0,0,0,3,0,0
38900,1,0,0,9,6,18,18,3
39000,1,0,0,15,6,27,27,6
39100,1,0,3,3,3,15,15,6
39200,1,3,3,6,3,15,12,3
39300,1,0,0,6,0,9,6,0
39400,1,0,0,0,0,3,0,0
39500,1,3,3,12,9,24,24,0
39600,1,0,0,3,3,12,9,3
39701,1,0,0,0,0,0,0,0
39702,1,0,0,0,0,6,6,0
39800,1,0,3,9,0,12,12,3
39900,1,3,0,18,0,24,24,0
40001,1,0,0,0,0,6,0,0
40002,1,0,0,0,0,6,0,0
40100,1,0,0,12,0,12,12,0
40200,1,0,0,9,0,12,9,3
40300,1,0,0,0,0,6,0,0
40400,1,0,0,0,0,0,0,0
40501,1,0,0,12,0,15,15,3
40502,1,0,0,0,0,3,0,0
40601,1,0,0,9,0,9,9,0
40602,1,0,0,0,0,0,0,0
40701,1,3,3,36,3,51,45,3
40702,1,3,6,6,0,15,9,0
40703,1,6,0,24,6,39,39,3
40801,1,6,0,42,0,48,45,3
40802,1,0,3,15,0,18,15,0
40900,1,6,6,24,9,45,42,3
41000,1,0,0,9,0,12,9,0
41100,1,0,0,27,3,36,33,3
41200,1,3,6,45,3,57,51,3
41300,1,9,3,60,3,75,75,6
41401,1,0,0,21,0,21,24,0
41402,1,0,6,27,0,33,30,0
41403,1,9,0,21,0,39,36,3
41500,1,0,0,6,6,15,15,3
41600,1,0,0,18,3,24,24,0
41700,1,3,0,33,3,48,42,3
41800,1,0,0,27,3,36,33,3
41900,1,0,0,27,3,30,30,0
42001,1,0,3,27,0,30,27,0
42002,1,0,0,21,0,27,27,3
42101,1,0,0,0,0,3,0,0
42102,1,0,3,15,0,18,15,0
42103,1,0,0,9,0,12,12,3
42201,1,0,0,0,0,0,0,0
42202,1,0,6,45,6,60,51,3
42300,1,0,3,30,0,39,36,3
42400,1,6,0,21,3,30,30,0
42500,1,3,0,15,3,21,21,0
42600,1,0,0,15,0,21,18,0
42700,1,3,0,21,0,21,21,0
42800,1,0,0,0,0,3,0,0
42900,1,0,0,9,3,15,15,0
43000,1,0,3,18,0,24,18,0
43100,1,3,3,27,0,30,30,0
43200,1,0,3,12,3,24,24,6
43300,1,0,0,9,6,12,12,0
43400,1,0,0,9,3,15,12,0
43500,1,6,0,30,0,39,39,3
43600,1,3,0,18,3,24,21,0
43700,1,0,0,0,0,3,0,0
43800,1,6,3,27,12,51,48,3
43902,1,0,0,9,3,15,15,0
43904,1,3,0,27,9,39,39,3
43905,1,6,3,24,15,51,48,3
43906,1,12,6,45,24,93,90,3
43907,1,6,3,24,12,45,45,3
44003,1,3,0,33,15,54,54,6
44004,1,3,3,33,15,51,48,3
44005,1,3,0,48,9,63,63,6
44006,1,0,0,18,6,24,24,0
44007,1,0,0,0,0,6,6,0
44008,1,3,0,18,6,24,24,3
44101,1,0,0,0,0,0,0,0
44102,1,6,0,54,15,84,84,6
44201,1,0,3,6,3,12,12,3
44202,1,0,0,0,0,0,0,0
44301,1,0,0,30,6,39,39,3
44302,1,0,0,0,0,0,0,0
44402,1,0,0,0,0,0,0,0
44403,1,6,0,12,12,33,33,0
44404,1,6,3,42,15,69,66,0
44405,1,6,0,9,6,27,27,3
44406,1,15,0,36,18,69,72,6
44501,1,9,6,54,24,102,96,12
44503,1,0,0,0,6,9,12,0
44504,1,3,3,33,3,36,36,0
44505,1,3,3,15,12,30,30,0
44506,1,0,0,0,0,6,0,0
44507,1,3,0,12,9,24,21,0
44508,1,3,0,9,6,18,18,0
44602,1,3,0,27,6,42,42,0
44603,1,9,0,9,9,24,24,0
44604,1,0,0,0,0,3,0,0
44605,1,6,0,15,6,27,27,0
44606,1,0,0,0,0,9,12,0
44607,1,0,0,0,0,6,0,0
