meshblock_id,census_year_id,do_not_own,not_elsewhere_included,own_or_partly_own,total_people,total_stated
26201,1,15,9,9,30,24
26202,1,75,57,72,207,150
26301,1,0,0,0,0,0
26302,1,9,12,12,33,21
26303,1,30,3,15,51,45
26304,1,0,0,0,0,0
26305,1,0,0,0,3,0
26400,1,9,6,18,36,30
26500,1,21,6,18,48,36
26600,1,3,12,15,33,21
26700,1,6,3,6,18,12
26800,1,18,12,24,54,42
26900,1,21,6,21,51,42
27000,1,0,0,0,6,0
27100,1,3,6,12,21,15
27200,1,0,0,0,0,0
27300,1,12,3,12,30,27
27400,1,18,3,18,39,36
27500,1,6,12,21,36,27
27600,1,9,3,12,24,21
27700,1,3,0,12,12,12
27800,1,15,9,12,33,27
27900,1,6,3,3,9,9
28000,1,12,3,3,18,15
28100,1,9,12,15,36,24
28201,1,0,0,0,3,0
28202,1,3,3,6,12,9
28300,1,24,27,33,81,57
28400,1,0,0,0,0,0
28500,1,6,9,15,30,21
28600,1,6,0,15,24,24
28700,1,12,3,15,30,27
28800,1,3,0,6,6,9
28900,1,18,3,18,39,36
29000,1,6,0,9,18,15
29101,1,0,0,0,0,0
29102,1,0,0,0,0,0
29200,1,3,3,9,15,12
29301,1,0,0,0,0,0
29302,1,12,0,6,18,15
29400,1,36,12,18,63,54
29500,1,27,6,12,45,42
29600,1,9,6,3,21,12
29700,1,12,9,15,36,27
29800,1,27,18,21,66,48
29900,1,6,3,3,9,6
30000,1,12,3,24,36,36
30100,1,12,3,6,21,18
30200,1,3,9,12,24,18
30300,1,6,3,9,18,15
30400,1,27,0,15,45,42
30500,1,12,6,18,33,27
30600,1,18,6,15,39,33
30700,1,18,12,36,66,54
30800,1,9,3,15,30,24
30900,1,6,3,15,21,18
31000,1,6,0,15,21,21
31100,1,9,0,9,18,15
31200,1,15,9,27,51,42
31300,1,0,0,0,6,0
31400,1,9,3,18,30,24
31500,1,30,6,48,87,78
31600,1,6,3,6,15,12
31700,1,6,3,15,21,21
31800,1,24,6,24,57,48
31900,1,27,3,15,45,42
32000,1,0,0,0,0,0
32100,1,12,12,33,57,45
32200,1,3,0,6,12,9
32300,1,24,12,54,93,78
32400,1,6,0,12,18,18
32501,1,12,3,36,51,48
32502,1,0,0,0,0,0
32600,1,27,12,39,78,66
32700,1,9,3,15,27,24
32800,1,9,0,6,15,12
32900,1,9,3,9,21,21
33000,1,18,12,18,48,36
33100,1,24,12,51,87,75
33200,1,6,3,15,24,21
33300,1,0,6,6,12,6
33400,1,15,3,18,39,36
33500,1,6,0,6,15,15
33600,1,18,6,66,93,84
33700,1,36,15,63,111,96
33800,1,36,9,57,102,90
33900,1,24,3,30,60,57
34000,1,12,0,12,24,27
34101,1,27,9,66,108,96
34102,1,3,0,6,12,12
34201,1,12,6,33,51,48
34202,1,18,3,48,72,69
34301,1,0,3,18,24,21
34302,1,0,0,0,3,0
34400,1,9,3,33,48,45
34500,1,9,3,21,33,30
34600,1,12,0,33,48,45
34700,1,39,3,42,84,78
34800,1,6,3,15,27,21
34900,1,21,0,15,36,39
35000,1,30,3,27,63,60
35100,1,3,0,12,15,15
35200,1,18,6,60,84,75
35300,1,9,0,15,24,21
35401,1,0,0,6,6,6
35402,1,9,0,15,27,21
35501,1,21,0,12,33,33
35502,1,0,0,0,3,0
35600,1,9,3,27,39,36
35700,1,33,3,45,87,81
35800,1,39,6,30,72,69
35900,1,27,6,51,84,78
36000,1,6,0,12,21,18
36100,1,9,3,21,30,27
36202,1,0,0,0,0,0
36203,1,6,0,3,9,9
36204,1,6,0,6,12,12
36301,1,0,0,6,9,6
36302,1,27,6,30,63,57
36303,1,3,0,3,9,6
36401,1,6,6,12,24,18
36402,1,0,0,0,6,6
36500,1,12,15,21,48,33
36600,1,0,0,0,6,0
36700,1,21,6,42,72,66
36800,1,9,3,9,24,18
36901,1,3,3,3,9,6
36902,1,6,3,3,15,12
37000,1,15,12,18,48,36
37100,1,0,0,0,3,0
37202,1,0,3,6,9,3
37203,1,0,0,0,0,0
37204,1,0,0,0,0,0
37205,1,0,0,0,0,0
37301,1,0,0,0,0,0
37302,1,0,0,0,3,0
37401,1,24,15,33,69,54
37402,1,33,27,45,102,78
37501,1,12,3,12,24,21
37502,1,0,3,15,21,15
37600,1,21,0,15,36,36
37701,1,12,0,6,18,18
37702,1,6,9,6,18,12
37802,1,60,33,45,135,105
37803,1,12,6,21,36,30
37804,1,0,0,0,3,0
37805,1,0,0,0,6,0
37806,1,0,0,0,0,0
37807,1,9,0,36,45,42
37901,1,24,3,12,36,33
37902,1,0,0,0,0,0
38001,1,9,3,12,24,21
38002,1,0,0,0,0,0
38100,1,18,3,21,42,42
38200,1,21,6,21,51,45
38300,1,18,6,12,36,27
38400,1,12,0,15,30,24
38500,1,18,3,18,36,33
38600,1,21,3,21,45,39
38700,1,30,3,27,57,57
38800,1,0,0,0,3,0
38900,1,6,3,15,24,21
39000,1,30,15,18,66,48
39100,1,9,6,24,39,30
39200,1,9,3,6,21,18
39300,1,9,3,12,21,18
39400,1,0,6,6,9,6
39500,1,30,9,18,57,48
39600,1,15,15,18,45,33
39701,1,3,6,3,9,6
39702,1,6,3,6,12,9
39800,1,18,6,9,33,27
39900,1,27,12,18,60,45
40001,1,6,3,3,9,6
40002,1,3,3,6,15,12
40100,1,15,3,6,24,18
40200,1,12,9,21,42,33
40300,1,9,6,9,24,18
40400,1,0,9,3,9,0
40501,1,18,6,15,42,33
40502,1,0,0,0,0,0
40601,1,9,3,12,27,24
40602,1,0,0,0,0,0
40701,1,42,12,36,90,78
40702,1,15,12,15,39,30
40703,1,27,9,33,72,63
40801,1,36,9,42,84,78
40802,1,12,3,18,33,30
40900,1,27,3,33,63,60
41000,1,33,3,6,45,39
41100,1,30,6,36,75,66
41200,1,63,12,45,123,108
41300,1,54,9,72,138,129
41401,1,15,3,24,42,39
41402,1,39,12,33,78,69
41403,1,33,9,42,81,75
41500,1,15,0,18,30,30
41600,1,36,3,15,54,51
41700,1,39,9,45,90,84
41800,1,39,9,33,81,72
41900,1,24,6,33,63,57
42001,1,30,21,24,72,54
42002,1,33,15,24,75,57
42101,1,6,3,3,9,6
42102,1,21,6,18,45,39
42103,1,21,9,12,39,30
42201,1,3,24,0,27,0
42202,1,87,30,39,159,129
42300,1,54,21,27,102,81
42400,1,24,6,24,54,48
42500,1,30,6,24,63,57
42600,1,24,6,0,33,27
42700,1,30,3,21,54,51
42800,1,0,0,0,3,0
42900,1,15,3,18,39,33
43000,1,51,27,15,93,66
43100,1,39,15,27,78,66
43200,1,81,24,15,123,99
43300,1,21,3,9,33,30
43400,1,6,0,12,21,21
43500,1,60,6,33,102,96
43600,1,33,9,6,45,39
43700,1,3,0,3,6,9
43800,1,27,15,48,93,78
43902,1,0,0,15,15,15
43904,1,27,12,39,75,63
43905,1,21,6,39,66,60
43906,1,39,18,84,138,120
43907,1,27,12,51,87,78
44003,1,24,6,57,87,78
44004,1,21,6,54,78,75
44005,1,24,21,54,93,75
44006,1,21,18,27,63,48
44007,1,3,0,3,6,6
44008,1,24,3,12,39,36
44101,1,0,0,0,0,0
44102,1,51,42,90,183,141
44201,1,18,9,12,42,30
44202,1,0,0,0,6,0
44301,1,30,24,18,69,48
44302,1,0,0,0,0,0
44402,1,0,0,0,3,0
44403,1,15,6,42,60,57
44404,1,33,21,87,144,120
44405,1,18,3,36,57,54
44406,1,33,6,78,114,108
44501,1,39,12,99,150,141
44503,1,3,3,6,15,12
44504,1,27,0,39,66,63
44505,1,12,3,39,51,48
44506,1,3,0,3,6,6
44507,1,12,0,24,36,33
44508,1,12,0,18,30,30
44602,1,27,9,51,90,81
44603,1,9,3,24,36,30
44604,1,0,0,0,6,0
44605,1,6,6,30,39,36
44606,1,0,0,21,24,21
44607,1,3,3,6,9,6
44608,1,3,0,6,9,9
44609,1,0,0,9,9,9
44610,1,9,3,3,12,12
44611,1,0,0,0,0,0
44701,1,15,6,42,63,57
44702,1,30,9,69,111,102
44703,1,0,0,0,6,6
44801,1,24,12,69,102,90
44803,1,12,3,24,39,39
44804,1,15,9,27,54,45
44805,1,6,3,15,21,18
44806,1,9,3,24,33,33
44807,1,6,6,33,42,33
44808,1,3,6,30,42,36
44901,1,18,0,27,42,42
44902,1,9,0,6,12,12
45000,1,27,3,30,60,57
45100,1,18,3,21,39,36
45200,1,3,6,18,27,24
45300,1,24,3,15,42,39
45400,1,12,3,15,30,27
45500,1,6,0,9,12,12
45600,1,6,3,12,21,18
45700,1,6,0,3,12,12
45800,1,18,0,18,36,36
45901,1,12,0,12,24,21
45902,1,9,0,15,24,21
46001,1,6,3,9,21,15
46002,1,3,0,15,15,15
46100,1,6,0,21,24,24
46200,1,3,3,9,18,12
46300,1,6,0,12,21,21
46400,1,24,9,12,45,36
46500,1,3,3,6,15,12
46600,1,9,0,6,15,15
46700,1,18,12,12,42,27
46801,1,3,6,6,15,9
46802,1,9,12,6,24,12
46901,1,3,3,3,9,3
46902,1,6,3,6,12,12
47001,1,0,6,0,6,0
47002,1,3,15,3,21,6
47100,1,0,15,0,15,0
47200,1,3,6,3,6,6
47301,1,21,6,12,36,30
47302,1,3,0,3,6,9
47400,1,6,6,6,15,6
47500,1,6,12,3,21,9
47601,1,0,0,0,3,0
47602,1,3,3,3,9,3
47603,1,3,9,24,39,27
47701,1,15,3,12,30,27
47702,1,0,0,0,3,0
47801,1,15,0,6,21,21
47802,1,0,0,0,3,0
47901,1,18,3,24,42,42
47902,1,0,0,0,0,0
48001,1,15,3,18,33,33
48003,1,0,0,0,0,0
48004,1,9,3,12,21,18
48101,1,0,0,6,9,6
48102,1,9,0,3,9,9
48201,1,0,0,0,0,0
48203,1,27,12,21,57,48
48204,1,42,18,30,90,72
48205,1,0,0,0,6,0
48301,1,0,0,0,0,0
48303,1,12,18,30,57,42
48304,1,12,12,21,42,30
48403,1,0,0,0,0,0
48404,1,30,9,45,84,78
48405,1,0,0,0,0,0
48406,1,0,0,0,0,0
48407,1,0,0,0,6,0
48408,1,18,12,60,90,75
48409,1,24,6,75,102,99
48410,1,24,6,81,111,102
48500,1,12,27,12,48,21
48601,1,0,0,0,0,0
48602,1,0,3,3,6,3
48701,1,0,0,0,0,0
48702,1,15,12,30,57,45
48800,1,3,0,12,15,15
48900,1,12,3,12,27,27
49000,1,27,18,21,63,48
49102,1,12,21,12,45,24
49103,1,0,0,0,0,0
49104,1,0,0,0,3,0
49105,1,0,0,0,0,0
49203,1,0,0,0,0,0
49204,1,39,12,102,153,138
49205,1,0,0,0,0,0
49206,1,30,3,51,81,78
49302,1,27,9,84,120,111
49303,1,3,3,6,15,12
49304,1,9,3,27,39,36
49305,1,3,3,12,15,15
49306,1,15,6,27,48,42
49307,1,9,0,27,36,36
49401,1,36,0,72,108,105
49403,1,6,0,0,9,9
49404,1,0,0,0,0,0
49405,1,24,6,33,63,60
49406,1,24,6,15,48,39
49407,1,27,3,12,42,39
49501,1,0,0,0,0,0
49502,1,0,0,0,0,0
49503,1,0,0,0,0,0
49504,1,9,3,24,33,33
49505,1,3,6,18,27,21
49506,1,3,0,18,21,21
49507,1,9,3,12,24,21
49600,1,51,12,69,132,117
49700,1,60,21,120,201,183
49801,1,24,24,54,102,78
49802,1,54,15,114,180,165
49901,1,12,0,39,51,48
49903,1,0,0,0,0,0
49904,1,0,6,9,18,12
49905,1,9,3,24,36,33
50001,1,6,3,12,21,21
50002,1,0,0,0,3,0
50003,1,24,12,18,51,39
50004,1,0,0,9,9,9
50100,1,69,6,108,186,177
50201,1,6,0,3,6,6
50202,1,0,0,0,3,0
50303,1,30,6,27,63,57
50304,1,12,9,24,45,33
50305,1,18,6,36,60,51
50306,1,21,3,30,54,48
50307,1,18,15,12,45,30
50308,1,12,3,18,33,33
50309,1,24,9,9,42,33
50310,1,18,0,24,39,39
50311,1,12,3,18,33,36
50400,1,24,6,18,45,39
50501,1,3,3,3,9,6
50502,1,0,0,0,0,0
50503,1,0,0,0,6,6
50602,1,0,0,0,0,0
50603,1,0,0,0,6,0
50604,1,9,3,0,12,9
50605,1,9,6,18,36,30
50701,1,3,3,3,12,9
50703,1,0,0,0,0,0
50704,1,0,0,0,0,0
50705,1,6,0,21,27,24
50706,1,0,0,0,3,0
50707,1,0,0,0,0,0
50708,1,0,0,0,6,0
50802,1,0,0,0,0,0
50803,1,21,3,9,33,30
50804,1,12,3,45,54,54
50805,1,0,0,0,6,0
50806,1,3,3,3,9,3
50901,1,0,0,0,0,0
50902,1,3,6,9,18,9
51000,1,0,0,0,0,0
51101,1,9,102,0,114,12
51102,1,27,0,0,27,27
51201,1,21,9,33,63,51
51202,1,12,3,30,45,42
