meshblock_id,census_year_id,couple_with_children,couple_without_children,one_parent,total
49401,1,24,18,3,42
49403,1,0,0,0,3
49404,1,0,0,0,0
49405,1,6,9,6,21
49406,1,3,3,3,12
49407,1,6,3,6,15
49501,1,0,0,0,0
49502,1,0,0,0,0
49503,1,0,0,0,0
49504,1,6,9,0,15
49505,1,3,6,3,9
49506,1,0,6,0,9
49507,1,3,6,3,12
49600,1,12,21,3,39
49700,1,27,45,12,78
49801,1,12,18,6,36
49802,1,27,36,12,75
49901,1,9,12,3,21
49903,1,0,0,0,0
49904,1,0,0,0,3
49905,1,6,12,3,15
50001,1,3,3,3,9
50002,1,0,0,0,0
50003,1,3,9,3,15
50004,1,0,0,0,6
50100,1,27,30,12,69
50201,1,0,0,0,3
50202,1,0,0,0,3
50303,1,6,12,3,24
50304,1,3,9,6,15
50305,1,3,15,3,21
50306,1,9,6,6,24
50307,1,3,6,3,12
50308,1,6,3,0,9
50309,1,6,6,3,18
50310,1,3,9,3,15
50311,1,6,3,3,12
50400,1,6,6,0,18
50501,1,0,0,0,0
50502,1,0,0,0,0
50503,1,0,0,0,3
50602,1,0,0,0,0
50603,1,0,0,0,0
50604,1,0,0,0,3
50605,1,6,9,0,15
50701,1,0,0,0,6
50703,1,0,0,0,0
50704,1,0,0,0,0
50705,1,6,6,0,12
50706,1,0,0,0,0
50707,1,0,0,0,0
50708,1,0,0,0,0
50802,1,0,0,0,0
50803,1,0,0,0,6
50804,1,6,18,0,24
50805,1,0,0,0,3
50806,1,0,0,0,0
50901,1,0,0,0,0
50902,1,0,0,0,6
51000,1,0,0,0,0
51101,1,0,0,0,3
51102,1,0,0,0,3
51201,1,6,12,3,24
51202,1,3,6,0,9
51300,1,15,18,6,39
51401,1,9,24,0,36
51402,1,0,0,0,3
51403,1,6,9,0,15
51405,1,0,0,0,0
51406,1,12,27,3,42
51407,1,9,12,3,24
51408,1,12,21,3,33
51409,1,6,12,6,21
51501,1,3,12,3,18
51502,1,0,6,0,9
51504,1,0,0,0,0
51505,1,3,9,0,9
51506,1,3,6,0,9
51507,1,3,3,0,6
51508,1,0,0,0,0
51601,1,9,9,0,21
51602,1,0,0,0,0
51700,1,9,6,3,12
51800,1,3,6,0,12
51900,1,0,0,0,6
52001,1,6,3,3,9
52002,1,3,0,3,9
52100,1,3,6,0,6
52200,1,0,0,0,0
52300,1,15,3,6,24
52400,1,0,0,0,0
52501,1,0,0,0,3
52502,1,0,0,0,6
52600,1,0,0,0,0
52700,1,9,0,9,18
52800,1,9,3,3,12
52902,1,9,12,3,21
52903,1,6,3,6,15
52904,1,9,12,3,21
52905,1,3,12,0,12
52906,1,12,6,3,21
52907,1,3,12,3,15
53001,1,12,21,3,36
53002,1,6,9,3,21
53003,1,6,18,0,24
53004,1,9,6,6,21
53005,1,9,12,3,24
53101,1,6,21,3,24
53102,1,0,0,0,6
53200,1,6,15,9,30
53301,1,6,3,6,18
53303,1,3,9,3,15
53304,1,21,18,15,48
53305,1,12,9,3,24
53403,1,6,24,6,33
53404,1,0,15,0,15
53405,1,6,9,0,15
53406,1,15,12,18,48
53407,1,15,21,9,42
53408,1,3,3,3,9
53502,1,3,3,3,9
53503,1,0,3,3,6
53504,1,3,6,3,9
