meshblock_id,census_year_id,doctortates,level_five_or_six,level_four,level_one,level_seven,level_three,level_two,masters,no_qualification,not_elsewhere_included,overseas_secondary,postgraduate,total,total_stated
2446805,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2446806,3,0,57,63,63,72,42,48,12,75,24,39,21,516,489
2446807,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2446903,3,0,3,9,12,0,0,3,0,12,6,3,0,48,42
2446904,3,0,6,24,15,15,9,21,0,39,12,6,0,153,138
2446905,3,0,15,18,24,9,12,18,3,33,12,6,3,153,144
2446906,3,0,18,21,27,12,18,36,3,36,15,12,3,198,183
2446910,3,0,9,15,12,9,6,6,3,15,3,6,0,78,75
2446912,3,0,18,27,33,12,9,21,3,30,9,9,6,174,165
2446913,3,0,12,21,30,18,15,21,0,48,24,6,0,201,177
2446914,3,0,6,6,6,9,6,6,0,24,12,3,0,78,66
2446915,3,0,6,9,15,3,6,6,0,18,6,3,0,72,69
2446916,3,0,9,9,9,9,3,6,0,3,6,3,0,57,51
2446917,3,0,6,6,9,6,3,6,0,12,3,0,3,57,57
2447000,3,0,9,12,6,9,3,9,3,27,15,3,3,99,84
2447101,3,0,9,9,15,12,9,9,0,18,12,0,0,96,84
2447102,3,0,36,54,84,30,54,42,6,93,18,15,9,438,423
2447103,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2447104,3,0,9,12,18,6,9,18,0,27,9,3,3,111,102
2447105,3,0,6,3,9,3,3,9,0,18,3,6,0,60,60
2447106,3,0,6,9,6,0,3,6,0,12,9,0,3,51,42
2447107,3,0,9,12,18,6,6,15,0,12,0,3,3,84,84
2447108,3,0,9,12,18,3,9,15,0,18,3,3,0,93,90
2447109,3,0,9,9,15,3,9,12,0,15,6,6,0,84,81
2447201,3,0,0,0,0,0,0,0,0,6,0,0,0,12,9
2447203,3,0,12,15,12,6,6,18,3,27,12,3,0,120,108
2447204,3,0,0,0,0,0,0,0,0,0,0,0,0,21,18
2447301,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2447302,3,0,9,12,12,6,6,12,0,21,15,3,3,96,81
2447401,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2447402,3,0,6,6,6,3,6,3,3,12,6,0,3,57,48
2447501,3,0,0,0,0,0,0,0,0,0,0,0,0,9,9
2447502,3,0,3,15,24,6,6,6,3,48,15,3,0,123,108
2447503,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2447604,3,0,6,0,0,0,0,0,0,0,0,0,0,21,18
2447605,3,0,0,0,0,0,0,0,0,0,0,0,0,15,12
2447606,3,0,12,9,18,15,15,15,0,33,12,6,0,129,120
2447607,3,0,18,15,24,9,9,21,0,24,12,3,6,141,129
2447608,3,0,15,30,21,15,18,21,3,39,9,12,0,180,168
2447609,3,0,15,42,33,21,30,36,3,81,18,12,6,294,276
2447701,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2447702,3,0,3,6,6,3,6,3,0,27,9,0,3,66,57
2447800,3,0,6,9,12,3,3,9,0,12,9,0,0,63,54
2447900,3,0,3,6,18,3,3,6,0,9,6,0,0,51,48
2448000,3,0,9,12,15,6,9,6,0,48,24,3,0,135,111
2448101,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2448102,3,0,12,15,21,9,15,12,3,30,6,0,0,132,126
2448202,3,0,9,12,21,9,15,18,0,27,12,6,3,132,120
2448204,3,0,42,48,63,30,33,54,6,48,21,15,9,372,351
2448207,3,3,12,18,12,9,6,15,3,21,3,0,0,102,99
2448208,3,0,9,6,9,6,3,3,0,30,6,3,0,81,72
2448209,3,0,6,6,9,6,12,6,3,18,3,0,3,69,66
2448210,3,0,6,21,12,3,9,18,0,39,18,3,3,129,111
2448211,3,0,6,6,6,3,3,9,0,18,6,3,0,63,60
2448212,3,0,0,3,3,3,0,3,0,9,3,0,0,30,27
2448213,3,0,15,6,15,12,9,18,0,21,9,3,0,114,102
2448214,3,0,15,24,27,15,6,12,6,36,6,6,6,156,153
2448215,3,0,18,18,27,9,12,18,3,51,18,9,6,189,165
2448216,3,0,3,15,21,3,6,9,3,21,12,0,0,93,84
2448217,3,0,0,9,12,3,3,15,0,18,6,6,0,75,66
2448301,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
