meshblock_id,census_year_id,family_trust,not_elsewhere_included,not_owned,owned,total,total_stated
41403,1,0,0,9,21,33,33
41500,1,0,0,3,9,9,9
41600,1,0,0,18,9,27,27
41700,1,0,6,15,30,48,42
41800,1,0,3,12,24,36,36
41900,1,0,6,6,21,33,27
42001,1,0,6,12,15,33,24
42002,1,0,6,6,21,30,27
42101,1,0,0,0,0,6,0
42102,1,0,3,12,12,24,21
42103,1,0,3,9,6,21,15
42201,1,0,0,0,0,0,0
42202,1,0,9,39,21,72,60
42300,1,0,6,24,15,45,39
42400,1,0,3,12,12,30,24
42500,1,0,3,12,15,30,30
42600,1,0,0,15,0,15,12
42700,1,0,0,12,15,27,24
42800,1,0,0,0,0,0,0
42900,1,0,0,3,12,18,18
43000,1,0,6,21,12,39,33
43100,1,0,6,18,15,39,33
43200,1,0,3,27,6,39,36
43300,1,0,0,9,9,18,18
43400,1,0,0,3,9,12,9
43500,1,0,3,21,18,45,39
43600,1,0,3,12,6,21,18
43700,1,0,0,0,0,3,0
43800,1,0,6,3,27,36,30
43902,1,0,0,0,9,9,6
43904,1,0,3,9,27,33,33
43905,1,0,0,6,24,33,30
43906,1,0,3,12,48,66,63
43907,1,0,6,9,30,45,39
44003,1,0,3,9,30,42,39
44004,1,0,3,3,36,42,42
44005,1,0,6,6,30,39,36
44006,1,0,6,6,18,30,21
44007,1,0,0,0,0,6,0
44008,1,0,3,6,9,18,15
44101,1,0,0,0,0,0,0
44102,1,0,21,15,51,87,66
44201,1,0,3,6,9,18,18
44202,1,0,0,0,0,3,0
44301,1,0,6,12,18,33,30
44302,1,0,0,0,0,0,0
44402,1,0,0,0,0,3,0
44403,1,0,0,6,21,30,30
44404,1,0,6,12,48,72,63
44405,1,0,3,6,21,27,27
44406,1,0,3,12,42,57,57
44501,1,0,3,9,57,72,69
44503,1,0,0,3,6,9,6
44504,1,0,3,12,21,33,33
44505,1,0,0,0,24,24,24
44506,1,0,0,0,0,3,0
44507,1,0,0,0,15,18,15
44508,1,0,0,3,12,15,12
44602,1,0,3,9,33,45,42
44603,1,0,3,0,12,15,12
44604,1,0,0,0,0,0,0
44605,1,0,3,3,18,18,18
44606,1,0,0,0,12,12,12
44607,1,0,0,0,0,0,0
44608,1,0,0,0,0,3,0
44609,1,0,0,0,0,6,0
44610,1,0,0,6,3,9,6
44611,1,0,0,0,0,0,0
44701,1,0,0,3,24,30,27
44702,1,0,0,6,42,51,48
44703,1,0,0,0,0,0,0
44801,1,0,0,6,39,45,45
44803,1,0,0,0,18,21,18
44804,1,0,3,3,18,21,18
44805,1,0,0,3,9,12,12
44806,1,0,0,3,15,18,15
44807,1,0,0,3,15,18,21
44808,1,0,3,0,15,21,18
44901,1,0,0,6,18,21,18
44902,1,0,0,0,6,9,9
45000,1,0,0,9,18,27,27
45100,1,0,0,3,15,18,15
45200,1,0,3,3,9,18,15
45300,1,0,0,6,15,21,18
45400,1,0,3,3,9,15,12
45500,1,0,0,0,6,6,6
45600,1,0,0,3,9,12,9
45700,1,0,0,0,0,6,6
45800,1,0,0,3,12,15,15
45901,1,0,0,6,6,12,12
45902,1,0,0,3,6,12,9
46001,1,0,3,0,6,9,6
46002,1,0,0,3,9,9,9
46100,1,0,0,0,12,15,12
46200,1,0,0,0,6,9,9
46300,1,0,0,6,9,12,12
46400,1,0,0,6,9,15,18
46500,1,0,0,0,0,6,0
46600,1,0,0,0,0,3,0
46700,1,0,6,9,6,21,15
46801,1,0,3,3,3,9,6
46802,1,0,6,0,3,9,6
46901,1,0,0,0,0,6,0
46902,1,0,0,0,0,6,0
47001,1,0,0,0,0,0,0
47002,1,0,9,0,3,9,3
47100,1,0,0,0,0,3,0
47200,1,0,0,0,0,6,0
47301,1,0,3,6,6,15,12
47302,1,0,0,0,0,3,0
47400,1,0,3,0,3,6,3
47500,1,0,6,3,3,9,3
47601,1,0,0,0,0,3,0
47602,1,0,0,0,0,3,0
47603,1,0,3,3,15,18,15
47701,1,0,0,3,12,15,12
47702,1,0,0,0,0,0,0
47801,1,0,0,3,6,9,9
47802,1,0,0,0,0,3,0
47901,1,0,0,3,15,21,21
47902,1,0,0,0,0,0,0
48001,1,0,3,6,9,18,18
48003,1,0,0,0,0,0,0
48004,1,0,0,3,6,12,9
48101,1,0,0,0,0,6,0
48102,1,0,0,0,0,3,0
48201,1,0,0,0,0,0,0
48203,1,0,6,9,9,24,18
48204,1,0,6,15,24,42,39
48205,1,0,0,0,0,3,0
48301,1,0,0,0,0,0,0
48303,1,0,6,6,15,30,21
48304,1,0,3,6,15,24,21
48403,1,0,0,0,0,0,0
48404,1,0,6,9,30,48,42
48405,1,0,0,0,0,0,0
48406,1,0,0,0,0,0,0
48407,1,0,0,0,0,3,0
48408,1,0,6,6,39,51,45
48409,1,0,3,9,45,54,54
48410,1,0,3,6,45,51,51
48500,1,0,12,6,3,21,12
48601,1,0,0,0,0,0,0
48602,1,0,0,0,0,6,0
48701,1,0,0,0,0,0,0
48702,1,0,3,3,21,27,24
48800,1,0,0,0,9,9,9
48900,1,0,3,3,9,12,12
49000,1,0,3,6,15,24,18
49102,1,0,6,3,12,21,12
49103,1,0,0,0,0,0,0
49104,1,0,0,0,0,0,0
49105,1,0,0,0,0,0,0
49203,1,0,0,0,0,0,0
49204,1,0,3,18,63,84,81
49205,1,0,0,0,0,0,0
49206,1,0,3,6,24,36,33
49302,1,0,3,9,51,63,60
49303,1,0,0,0,0,6,0
49304,1,0,3,3,15,21,18
49305,1,0,0,0,6,6,6
49306,1,0,3,6,12,24,21
49307,1,0,0,6,12,18,18
49401,1,0,3,9,36,45,48
49403,1,0,0,0,0,6,0
49404,1,0,0,0,0,0,0
49405,1,0,0,6,21,27,27
49406,1,0,6,12,12,30,24
49407,1,0,0,15,6,24,21
49501,1,0,0,0,0,0,0
49502,1,0,0,0,0,0,0
49503,1,0,0,0,0,0,0
49504,1,0,0,3,12,18,18
49505,1,0,3,0,6,9,9
49506,1,0,0,0,9,15,15
49507,1,0,0,3,9,12,15
49600,1,0,0,12,36,45,45
49700,1,0,9,27,63,102,90
49801,1,0,0,12,30,45,45
49802,1,0,3,21,63,84,84
49901,1,0,0,3,24,24,24
49903,1,0,0,0,0,0,0
49904,1,0,3,0,6,9,3
49905,1,0,0,3,12,18,15
50001,1,0,3,3,6,12,9
50002,1,0,0,0,0,3,0
50003,1,0,3,6,12,18,18
50004,1,0,0,0,0,6,0
50100,1,0,6,27,60,93,87
50201,1,0,0,0,0,6,0
50202,1,0,0,0,0,3,0
50303,1,0,0,15,15,30,30
50304,1,0,0,9,12,21,21
50305,1,0,3,6,18,27,27
50306,1,0,0,9,18,27,30
50307,1,0,3,9,6,21,12
50308,1,0,0,3,12,12,15
50309,1,0,3,15,6,24,24
50310,1,0,0,6,12,18,18
50311,1,0,0,3,12,15,15
50400,1,0,0,12,9,21,21
50501,1,0,0,0,0,3,0
50502,1,0,0,0,0,0,0
50503,1,0,0,0,0,3,0
50602,1,0,0,0,0,0,0
50603,1,0,0,0,0,3,0
50604,1,0,0,0,0,3,0
50605,1,0,3,6,9,15,15
50701,1,0,0,0,0,6,0
50703,1,0,0,0,0,0,0
50704,1,0,0,0,0,0,0
50705,1,0,0,3,12,12,12
50706,1,0,0,0,0,0,0
50707,1,0,0,0,0,0,0
50708,1,0,0,0,0,3,0
50802,1,0,0,0,0,0,0
50803,1,0,0,0,0,6,6
50804,1,0,0,3,24,30,27
50805,1,0,0,0,0,3,0
50806,1,0,0,0,0,6,0
50901,1,0,0,0,0,0,0
50902,1,0,3,0,3,6,3
51000,1,0,0,0,0,0,0
51101,1,0,0,0,0,6,0
51102,1,0,0,0,0,3,0
51201,1,0,3,6,24,33,27
51202,1,0,6,9,18,27,21
51300,1,0,6,9,36,54,48
51401,1,0,0,9,36,42,42
51402,1,0,0,0,0,6,0
51403,1,0,0,6,18,27,24
51405,1,0,0,0,0,0,0
51406,1,0,3,15,42,57,54
51407,1,0,0,6,24,30,30
51408,1,0,3,12,30,45,42
51409,1,0,0,9,24,30,33
51501,1,0,0,3,15,21,18
51502,1,0,0,3,9,15,15
51504,1,0,0,0,0,3,0
51505,1,0,12,0,18,30,18
51506,1,0,0,0,9,9,9
